2023-04-15 17:33:10,486 INFO    MainThread:9296 [wandb_setup.py:_flush():76] Configure stats pid to 9296
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_setup.py:_flush():76] Loading settings from C:\Users\h4rip\.config\wandb\settings
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_setup.py:_flush():76] Loading settings from D:\projects\masters_thesis\v_2\wandb\settings
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'playground.py', 'program': 'D:\\projects\\masters_thesis\\v_2\\playground.py'}
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_init.py:_log_setup():507] Logging user logs to D:\projects\masters_thesis\v_2\wandb\run-20230415_173310-nfhkg1gp\logs\debug.log
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_init.py:_log_setup():508] Logging internal logs to D:\projects\masters_thesis\v_2\wandb\run-20230415_173310-nfhkg1gp\logs\debug-internal.log
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_init.py:init():547] calling init triggers
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'exp_name': 'playground', 'gym_id': 'CartPole-v1', 'learning_rate': 0.00025, 'seed': 1, 'total_timesteps': 25000, 'torch_det': True, 'cuda': True, 'track': True, 'wandb_project_name': 'cleanRL', 'wandb_entity': None}
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_init.py:init():595] starting backend
2023-04-15 17:33:10,487 INFO    MainThread:9296 [wandb_init.py:init():599] setting up manager
2023-04-15 17:33:10,488 INFO    MainThread:9296 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-15 17:33:10,491 INFO    MainThread:9296 [wandb_init.py:init():605] backend started and connected
2023-04-15 17:33:10,494 INFO    MainThread:9296 [wandb_init.py:init():695] updated telemetry
2023-04-15 17:33:10,495 INFO    MainThread:9296 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-15 17:33:11,390 INFO    MainThread:9296 [wandb_run.py:_on_init():2176] communicating current version
2023-04-15 17:33:11,796 INFO    MainThread:9296 [wandb_run.py:_on_init():2185] got version response 
2023-04-15 17:33:11,796 INFO    MainThread:9296 [wandb_init.py:init():782] starting run threads in backend
2023-04-15 17:33:16,455 INFO    MainThread:9296 [wandb_run.py:_console_start():2157] atexit reg
2023-04-15 17:33:16,456 INFO    MainThread:9296 [wandb_run.py:_redirect():2012] redirect: 3
2023-04-15 17:33:16,456 INFO    MainThread:9296 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-15 17:33:16,456 INFO    MainThread:9296 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-15 17:33:16,456 INFO    MainThread:9296 [wandb_init.py:init():824] run started, returning control to user process
2023-04-15 17:33:16,457 INFO    MainThread:9296 [wandb_run.py:_tensorboard_callback():1432] tensorboard callback: runs/CartPole-v1__playground__1__1681560187, True
2023-04-15 17:33:29,951 WARNING MsgRouterThr:9296 [router.py:message_loop():77] message_loop has been closed
