C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
global_step=272, episodic_return=0.760937511920929
SPS:  115
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682933985\rl-video-episode-0.mp4
global_step=1024, episodic_return=0.0
SPS:  159
global_step=1096, episodic_return=0.2757812440395355
SPS:  204
global_step=1844, episodic_return=0.279296875
global_step=2048, episodic_return=0.0
SPS:  235
global_step=2116, episodic_return=0.103515625
global_step=2348, episodic_return=0.736328125
global_step=2412, episodic_return=0.6800781488418579
SPS:  253
global_step=2664, episodic_return=0.279296875
global_step=2724, episodic_return=0.6695312261581421
global_step=2852, episodic_return=0.61328125
global_step=2980, episodic_return=0.7222656011581421
SPS:  266
global_step=3140, episodic_return=0.0
global_step=3172, episodic_return=0.606249988079071
global_step=3284, episodic_return=0.8734375238418579
global_step=3300, episodic_return=0.606249988079071
global_step=3488, episodic_return=0.834765613079071
SPS:  279
global_step=3616, episodic_return=0.6097656488418579
global_step=3740, episodic_return=0.778515636920929
global_step=3888, episodic_return=0.869921863079071
global_step=4004, episodic_return=0.0
global_step=4012, episodic_return=0.8910156488418579
global_step=4056, episodic_return=0.32148438692092896
global_step=4072, episodic_return=0.5992187261581421
SPS:  289
global_step=4132, episodic_return=0.89453125
global_step=4176, episodic_return=0.848828136920929
global_step=4180, episodic_return=0.957812488079071
global_step=4276, episodic_return=0.912109375
global_step=4324, episodic_return=0.8734375238418579
global_step=4364, episodic_return=0.729296863079071
global_step=4416, episodic_return=0.876953125
global_step=4520, episodic_return=0.9085937738418579
SPS:  300
global_step=4644, episodic_return=0.49726563692092896
global_step=4772, episodic_return=0.887499988079071
global_step=4848, episodic_return=0.9332031011581421
global_step=4928, episodic_return=0.5042968988418579
global_step=5056, episodic_return=0.887499988079071
global_step=5092, episodic_return=0.32499998807907104
SPS:  309
global_step=5224, episodic_return=0.6695312261581421
global_step=5272, episodic_return=0.957812488079071
global_step=5384, episodic_return=0.901562511920929
global_step=5388, episodic_return=0.23710937798023224
global_step=5404, episodic_return=0.725781261920929
global_step=5524, episodic_return=0.876953125
global_step=5568, episodic_return=0.841796875
global_step=5584, episodic_return=0.947265625
global_step=5616, episodic_return=0.919140636920929
SPS:  317
global_step=5684, episodic_return=0.912109375
global_step=5752, episodic_return=0.8804687261581421
global_step=5756, episodic_return=0.936718761920929
global_step=5768, episodic_return=0.37421876192092896
global_step=5820, episodic_return=0.954296886920929
global_step=5856, episodic_return=0.746874988079071
global_step=5884, episodic_return=0.9437500238418579
global_step=5928, episodic_return=0.905078113079071
global_step=5932, episodic_return=0.9332031011581421
global_step=5940, episodic_return=0.8382812738418579
global_step=5972, episodic_return=0.922656238079071
global_step=6040, episodic_return=0.901562511920929
global_step=6060, episodic_return=0.89453125
SPS:  323
global_step=6184, episodic_return=0.778515636920929
global_step=6200, episodic_return=0.876953125
global_step=6236, episodic_return=0.7679687738418579
global_step=6308, episodic_return=0.905078113079071
global_step=6320, episodic_return=0.8804687261581421
global_step=6348, episodic_return=0.729296863079071
global_step=6352, episodic_return=0.8980468511581421
global_step=6368, episodic_return=0.947265625
global_step=6380, episodic_return=0.947265625
global_step=6444, episodic_return=0.9332031011581421
global_step=6456, episodic_return=0.905078113079071
global_step=6516, episodic_return=0.947265625
global_step=6528, episodic_return=0.9261718988418579
global_step=6564, episodic_return=0.957812488079071
global_step=6580, episodic_return=0.9437500238418579
global_step=6612, episodic_return=0.9261718988418579
global_step=6620, episodic_return=0.9507812261581421
global_step=6636, episodic_return=0.9507812261581421
SPS:  328
global_step=6696, episodic_return=0.947265625
global_step=6700, episodic_return=0.922656238079071
global_step=6788, episodic_return=0.919140636920929
global_step=6792, episodic_return=0.9156249761581421
global_step=6796, episodic_return=0.9156249761581421
global_step=6824, episodic_return=0.6097656488418579
global_step=6852, episodic_return=0.947265625
global_step=6880, episodic_return=0.9261718988418579
global_step=6896, episodic_return=0.905078113079071
global_step=6908, episodic_return=0.9261718988418579
global_step=6920, episodic_return=0.940234363079071
global_step=6956, episodic_return=0.9332031011581421
global_step=6980, episodic_return=0.936718761920929
global_step=6988, episodic_return=0.919140636920929
global_step=7044, episodic_return=0.8910156488418579
global_step=7052, episodic_return=0.936718761920929
global_step=7056, episodic_return=0.940234363079071
global_step=7108, episodic_return=0.9437500238418579
global_step=7128, episodic_return=0.936718761920929
global_step=7160, episodic_return=0.905078113079071
SPS:  331
global_step=7220, episodic_return=0.901562511920929
global_step=7252, episodic_return=0.7398437261581421
global_step=7292, episodic_return=0.883984386920929
global_step=7296, episodic_return=0.9332031011581421
global_step=7324, episodic_return=0.936718761920929
global_step=7356, episodic_return=0.947265625
global_step=7372, episodic_return=0.9296875
global_step=7388, episodic_return=0.771484375
global_step=7440, episodic_return=0.8980468511581421
global_step=7444, episodic_return=0.922656238079071
global_step=7496, episodic_return=0.9507812261581421
global_step=7504, episodic_return=0.9437500238418579
global_step=7508, episodic_return=0.9437500238418579
global_step=7572, episodic_return=0.9437500238418579
global_step=7588, episodic_return=0.919140636920929
global_step=7612, episodic_return=0.8980468511581421
global_step=7664, episodic_return=0.919140636920929
global_step=7676, episodic_return=0.9437500238418579
SPS:  335
global_step=7720, episodic_return=0.9507812261581421
global_step=7752, episodic_return=0.782031238079071
global_step=7816, episodic_return=0.9156249761581421
global_step=7856, episodic_return=0.9085937738418579
global_step=7868, episodic_return=0.75390625
global_step=7932, episodic_return=0.7749999761581421
global_step=7936, episodic_return=0.940234363079071
global_step=7952, episodic_return=0.9156249761581421
global_step=7976, episodic_return=0.859375
global_step=8000, episodic_return=0.940234363079071
global_step=8044, episodic_return=0.919140636920929
global_step=8060, episodic_return=0.947265625
global_step=8140, episodic_return=0.9296875
global_step=8148, episodic_return=0.848828136920929
global_step=8184, episodic_return=0.876953125
SPS:  335
global_step=8200, episodic_return=0.947265625
global_step=8216, episodic_return=0.940234363079071
global_step=8244, episodic_return=0.729296863079071
global_step=8276, episodic_return=0.9332031011581421
global_step=8292, episodic_return=0.9332031011581421
global_step=8296, episodic_return=0.901562511920929
global_step=8324, episodic_return=0.9296875
global_step=8356, episodic_return=0.9296875
global_step=8392, episodic_return=0.9156249761581421
global_step=8396, episodic_return=0.936718761920929
global_step=8404, episodic_return=0.901562511920929
global_step=8444, episodic_return=0.922656238079071
global_step=8452, episodic_return=0.9507812261581421
global_step=8476, episodic_return=0.936718761920929
global_step=8496, episodic_return=0.954296886920929
global_step=8524, episodic_return=0.936718761920929
