C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):
t:  16%|███████████████                                                                              | 42/259 [00:00<00:00, 416.07it/s, now=None]
global_step=272, episodic_return=0.760937511920929
SPS:  114
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4.

Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-8x8-v0__playground__1__1682934545\rl-video-episode-0.mp4
global_step=1024, episodic_return=0.0
SPS:  159
global_step=1096, episodic_return=0.2757812440395355
SPS:  200
global_step=1844, episodic_return=0.279296875
global_step=2048, episodic_return=0.0
SPS:  233
global_step=2112, episodic_return=0.10703124850988388
global_step=2300, episodic_return=0.834765613079071
global_step=2348, episodic_return=0.736328125
global_step=2412, episodic_return=0.6800781488418579
SPS:  258
global_step=2776, episodic_return=0.18085937201976776
global_step=2972, episodic_return=0.40937501192092896
global_step=3060, episodic_return=0.7503906488418579
SPS:  278
global_step=3372, episodic_return=0.0
global_step=3436, episodic_return=0.0
global_step=3464, episodic_return=0.567578136920929
SPS:  284
global_step=4020, episodic_return=0.5113281011581421
global_step=4084, episodic_return=0.0
SPS:  286
global_step=4164, episodic_return=0.36015623807907104
global_step=4252, episodic_return=0.2265625
global_step=4320, episodic_return=0.8628906011581421
global_step=4364, episodic_return=0.6976562738418579
global_step=4468, episodic_return=0.869921863079071
global_step=4472, episodic_return=0.806640625
SPS:  287
global_step=4672, episodic_return=0.82421875
global_step=5000, episodic_return=0.532421886920929
global_step=5108, episodic_return=0.0
SPS:  290
global_step=5236, episodic_return=0.7925781011581421
global_step=5388, episodic_return=0.0
global_step=5504, episodic_return=0.6519531011581421
global_step=5556, episodic_return=0.22304686903953552
global_step=5592, episodic_return=0.8207031488418579
global_step=5604, episodic_return=0.912109375
SPS:  296
global_step=5728, episodic_return=0.8910156488418579
global_step=5884, episodic_return=0.8628906011581421
global_step=5888, episodic_return=0.859375
global_step=5992, episodic_return=0.6167968511581421
global_step=6084, episodic_return=0.82421875
global_step=6108, episodic_return=0.8980468511581421
SPS:  302
global_step=6196, episodic_return=0.901562511920929
global_step=6216, episodic_return=0.37421876192092896
global_step=6408, episodic_return=0.831250011920929
global_step=6568, episodic_return=0.673046886920929
SPS:  306
global_step=6912, episodic_return=0.0
global_step=6944, episodic_return=0.5289062261581421
global_step=7068, episodic_return=0.8910156488418579
global_step=7108, episodic_return=0.8277343511581421
global_step=7132, episodic_return=0.0
SPS:  305
global_step=7292, episodic_return=0.8031250238418579
global_step=7384, episodic_return=0.919140636920929
global_step=7396, episodic_return=0.27226561307907104
global_step=7400, episodic_return=0.743359386920929
global_step=7612, episodic_return=0.799609363079071
global_step=7672, episodic_return=0.525390625
SPS:  294
global_step=7756, episodic_return=0.6871093511581421
global_step=7780, episodic_return=0.852343738079071
global_step=7848, episodic_return=0.602734386920929
global_step=7860, episodic_return=0.9085937738418579
global_step=7980, episodic_return=0.82421875
global_step=8144, episodic_return=0.7503906488418579
global_step=8148, episodic_return=0.852343738079071
SPS:  294
global_step=8380, episodic_return=0.796093761920929
global_step=8456, episodic_return=0.46562498807907104
global_step=8552, episodic_return=0.2265625
global_step=8656, episodic_return=0.550000011920929
SPS:  298
global_step=8792, episodic_return=0.7046874761581421
global_step=9036, episodic_return=0.4234375059604645
global_step=9080, episodic_return=0.746874988079071
SPS:  302
global_step=9260, episodic_return=0.8031250238418579
global_step=9564, episodic_return=0.11054687201976776
global_step=9680, episodic_return=0.0
SPS:  304
global_step=9836, episodic_return=0.3355468809604645
global_step=9872, episodic_return=0.831250011920929
global_step=9876, episodic_return=0.4585937559604645
global_step=9988, episodic_return=0.866406261920929
global_step=10088, episodic_return=0.8101562261581421
global_step=10120, episodic_return=0.7855468988418579
global_step=10152, episodic_return=0.8558593988418579
SPS:  306
global_step=10340, episodic_return=0.806640625
global_step=10376, episodic_return=0.746874988079071
global_step=10588, episodic_return=0.0
global_step=10748, episodic_return=0.859375
SPS:  306
global_step=10896, episodic_return=0.3460937440395355
global_step=11132, episodic_return=0.7925781011581421
global_step=11136, episodic_return=0.33203125
global_step=11224, episodic_return=0.5816406011581421
SPS:  307
global_step=11364, episodic_return=0.0
global_step=11640, episodic_return=0.6343749761581421
global_step=11748, episodic_return=0.6625000238418579
SPS:  308
global_step=11936, episodic_return=0.7398437261581421
global_step=12032, episodic_return=0.208984375
global_step=12160, episodic_return=0.0
SPS:  311
global_step=12420, episodic_return=0.658984363079071
global_step=12500, episodic_return=0.701171875
global_step=12632, episodic_return=0.813671886920929
global_step=12772, episodic_return=0.0
SPS:  313
global_step=12952, episodic_return=0.10703124850988388
global_step=13072, episodic_return=0.736328125
global_step=13124, episodic_return=0.848828136920929
SPS:  316
global_step=13524, episodic_return=0.0
global_step=13656, episodic_return=0.0
SPS:  317
global_step=14020, episodic_return=0.16679687798023224
global_step=14148, episodic_return=0.0
SPS:  316
global_step=14548, episodic_return=0.0
global_step=14680, episodic_return=0.0
SPS:  314
global_step=15044, episodic_return=0.0
global_step=15172, episodic_return=0.0
SPS:  316
global_step=15572, episodic_return=0.0
global_step=15704, episodic_return=0.0
SPS:  318
global_step=16068, episodic_return=0.0
global_step=16196, episodic_return=0.0
SPS:  319
global_step=16596, episodic_return=0.0
global_step=16724, episodic_return=0.103515625
SPS:  321
global_step=17092, episodic_return=0.0
global_step=17220, episodic_return=0.0
SPS:  321
global_step=17620, episodic_return=0.0
global_step=17748, episodic_return=0.0
SPS:  321
global_step=18116, episodic_return=0.0
global_step=18244, episodic_return=0.0
SPS:  320
global_step=18644, episodic_return=0.0
global_step=18772, episodic_return=0.0
SPS:  319
global_step=19140, episodic_return=0.0
global_step=19268, episodic_return=0.0
SPS:  319
global_step=19668, episodic_return=0.0
global_step=19796, episodic_return=0.0
SPS:  320
global_step=20164, episodic_return=0.0
global_step=20292, episodic_return=0.0
SPS:  320
global_step=20692, episodic_return=0.0
global_step=20820, episodic_return=0.0
SPS:  320
global_step=21188, episodic_return=0.0
global_step=21224, episodic_return=0.532421886920929
global_step=21316, episodic_return=0.0
SPS:  320
global_step=21844, episodic_return=0.0
SPS:  321
global_step=22212, episodic_return=0.0
global_step=22248, episodic_return=0.0
global_step=22340, episodic_return=0.0
SPS:  321
global_step=22868, episodic_return=0.0
SPS:  322
global_step=23236, episodic_return=0.0
global_step=23272, episodic_return=0.0
global_step=23364, episodic_return=0.0
SPS:  323
global_step=23892, episodic_return=0.0
SPS:  323
global_step=24260, episodic_return=0.0
global_step=24296, episodic_return=0.0
global_step=24388, episodic_return=0.0
SPS:  322
global_step=24916, episodic_return=0.0
SPS:  321
global_step=25284, episodic_return=0.0
global_step=25320, episodic_return=0.0
global_step=25412, episodic_return=0.0
SPS:  322
global_step=25940, episodic_return=0.0
SPS:  323
global_step=26308, episodic_return=0.0
global_step=26344, episodic_return=0.0
global_step=26436, episodic_return=0.0
SPS:  323
global_step=26964, episodic_return=0.0
SPS:  324
global_step=27332, episodic_return=0.0
global_step=27368, episodic_return=0.0
global_step=27460, episodic_return=0.0
SPS:  324
global_step=27988, episodic_return=0.0
SPS:  324
global_step=28356, episodic_return=0.0
global_step=28392, episodic_return=0.0
global_step=28484, episodic_return=0.0
SPS:  324
global_step=29012, episodic_return=0.0
SPS:  325
global_step=29380, episodic_return=0.0
global_step=29416, episodic_return=0.0
global_step=29508, episodic_return=0.0
SPS:  325
global_step=30036, episodic_return=0.0
SPS:  326
global_step=30404, episodic_return=0.0
