global_step=248, episodic_return=[0.442]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-0.mp4
global_step=400, episodic_return=[0.]
global_step=412, episodic_return=[0.631]
SPS:  136
global_step=636, episodic_return=[0.469]
global_step=696, episodic_return=[0.334]
global_step=800, episodic_return=[0.]
global_step=812, episodic_return=[0.]
global_step=864, episodic_return=[0.883]
global_step=936, episodic_return=[0.694]
SPS:  210
global_step=1036, episodic_return=[0.]
global_step=1096, episodic_return=[0.]
global_step=1128, episodic_return=[0.406]
global_step=1336, episodic_return=[0.]
global_step=1344, episodic_return=[0.307]
global_step=1408, episodic_return=[0.298]
global_step=1528, episodic_return=[0.]
SPS:  257
global_step=1628, episodic_return=[0.505]
global_step=1736, episodic_return=[0.]
global_step=1744, episodic_return=[0.]
global_step=1796, episodic_return=[0.883]
global_step=1908, episodic_return=[0.145]
global_step=1976, episodic_return=[0.595]
global_step=2028, episodic_return=[0.]
global_step=2040, episodic_return=[0.703]
SPS:  291
global_step=2136, episodic_return=[0.]
global_step=2240, episodic_return=[0.523]
global_step=2264, episodic_return=[0.352]
global_step=2288, episodic_return=[0.892]
global_step=2380, episodic_return=[0.451]
global_step=2440, episodic_return=[0.]
global_step=2544, episodic_return=[0.424]
SPS:  314
global_step=2564, episodic_return=[0.586]
global_step=2588, episodic_return=[0.667]
global_step=2636, episodic_return=[0.892]
global_step=2664, episodic_return=[0.73]
global_step=2752, episodic_return=[0.577]
global_step=2784, episodic_return=[0.928]
global_step=2796, episodic_return=[0.703]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-10.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-10.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-10.mp4
global_step=2816, episodic_return=[0.928]
global_step=2848, episodic_return=[0.928]
global_step=2852, episodic_return=[0.514]
global_step=2940, episodic_return=[0.802]
global_step=2988, episodic_return=[0.]
global_step=3032, episodic_return=[0.901]
global_step=3044, episodic_return=[0.766]
SPS:  315
global_step=3120, episodic_return=[0.829]
global_step=3144, episodic_return=[0.946]
global_step=3180, episodic_return=[0.919]
global_step=3188, episodic_return=[0.118]
global_step=3200, episodic_return=[0.208]
global_step=3220, episodic_return=[0.928]
global_step=3228, episodic_return=[0.937]
global_step=3248, episodic_return=[0.937]
global_step=3292, episodic_return=[0.838]
global_step=3324, episodic_return=[0.928]
global_step=3352, episodic_return=[0.721]
global_step=3432, episodic_return=[0.]
global_step=3456, episodic_return=[0.532]
global_step=3460, episodic_return=[0.937]
global_step=3488, episodic_return=[0.631]
global_step=3548, episodic_return=[0.865]
SPS:  328
global_step=3604, episodic_return=[0.433]
global_step=3648, episodic_return=[0.775]
global_step=3748, episodic_return=[0.775]
global_step=3788, episodic_return=[0.91]
global_step=3812, episodic_return=[0.208]
global_step=3816, episodic_return=[0.19]
global_step=3820, episodic_return=[0.928]
global_step=3824, episodic_return=[0.505]
global_step=3840, episodic_return=[0.937]
global_step=3884, episodic_return=[0.901]
global_step=3892, episodic_return=[0.847]
global_step=3908, episodic_return=[0.946]
global_step=3968, episodic_return=[0.667]
global_step=3984, episodic_return=[0.793]
global_step=3988, episodic_return=[0.82]
global_step=3996, episodic_return=[0.595]
global_step=4024, episodic_return=[0.919]
global_step=4032, episodic_return=[0.919]
global_step=4052, episodic_return=[0.847]
global_step=4056, episodic_return=[0.928]
global_step=4084, episodic_return=[0.739]
global_step=4092, episodic_return=[0.865]
SPS:  335
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-20.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-20.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-20.mp4
global_step=4116, episodic_return=[0.856]
global_step=4120, episodic_return=[0.937]
global_step=4124, episodic_return=[0.91]
global_step=4168, episodic_return=[0.901]
global_step=4188, episodic_return=[0.955]
global_step=4208, episodic_return=[0.802]
global_step=4232, episodic_return=[0.946]
global_step=4248, episodic_return=[0.703]
global_step=4252, episodic_return=[0.901]
global_step=4268, episodic_return=[0.919]
global_step=4272, episodic_return=[0.955]
global_step=4280, episodic_return=[0.928]
global_step=4296, episodic_return=[0.946]
global_step=4300, episodic_return=[0.928]
global_step=4312, episodic_return=[0.928]
global_step=4316, episodic_return=[0.919]
global_step=4332, episodic_return=[0.928]
global_step=4336, episodic_return=[0.955]
global_step=4344, episodic_return=[0.892]
global_step=4356, episodic_return=[0.946]
global_step=4368, episodic_return=[0.928]
global_step=4376, episodic_return=[0.955]
global_step=4384, episodic_return=[0.91]
global_step=4400, episodic_return=[0.946]
global_step=4408, episodic_return=[0.946]
global_step=4436, episodic_return=[0.721]
global_step=4440, episodic_return=[0.928]
global_step=4444, episodic_return=[0.919]
global_step=4456, episodic_return=[0.955]
global_step=4460, episodic_return=[0.865]
global_step=4464, episodic_return=[0.946]
global_step=4468, episodic_return=[0.946]
global_step=4492, episodic_return=[0.928]
global_step=4508, episodic_return=[0.883]
global_step=4540, episodic_return=[0.892]
global_step=4548, episodic_return=[0.91]
global_step=4576, episodic_return=[0.919]
SPS:  337
global_step=4616, episodic_return=[0.91]
global_step=4628, episodic_return=[0.82]
global_step=4632, episodic_return=[0.631]
global_step=4636, episodic_return=[0.955]
global_step=4652, episodic_return=[0.829]
global_step=4660, episodic_return=[0.928]
global_step=4664, episodic_return=[0.928]
global_step=4672, episodic_return=[0.919]
global_step=4684, episodic_return=[0.928]
global_step=4712, episodic_return=[0.892]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-30.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-30.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-30.mp4
global_step=4716, episodic_return=[0.874]
global_step=4720, episodic_return=[0.919]
global_step=4736, episodic_return=[0.856]
global_step=4756, episodic_return=[0.91]
global_step=4760, episodic_return=[0.946]
global_step=4780, episodic_return=[0.946]
global_step=4788, episodic_return=[0.937]
global_step=4792, episodic_return=[0.874]
global_step=4808, episodic_return=[0.955]
global_step=4820, episodic_return=[0.856]
global_step=4828, episodic_return=[0.892]
global_step=4844, episodic_return=[0.946]
global_step=4852, episodic_return=[0.946]
global_step=4864, episodic_return=[0.838]
global_step=4876, episodic_return=[0.946]
global_step=4900, episodic_return=[0.946]
global_step=4920, episodic_return=[0.955]
global_step=4936, episodic_return=[0.919]
global_step=4940, episodic_return=[0.784]
global_step=4948, episodic_return=[0.892]
global_step=4960, episodic_return=[0.946]
global_step=4964, episodic_return=[0.901]
global_step=4972, episodic_return=[0.928]
global_step=4976, episodic_return=[0.937]
global_step=4988, episodic_return=[0.946]
global_step=5004, episodic_return=[0.901]
global_step=5008, episodic_return=[0.955]
global_step=5016, episodic_return=[0.91]
global_step=5024, episodic_return=[0.955]
global_step=5032, episodic_return=[0.937]
global_step=5040, episodic_return=[0.928]
global_step=5052, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-40.mp4.
