Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-5x5-v0__playground_gridworld__1__1683035767\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-5x5-v0__playground_gridworld__1__1683035767\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-5x5-v0__playground_gridworld__1__1683035767\rl-video-episode-0.mp4
global_step=8, episodic_return=[-1.]
global_step=16, episodic_return=[0.99928]
global_step=20, episodic_return=[0.99964]
global_step=36, episodic_return=[-1.]
global_step=40, episodic_return=[-1.]
global_step=44, episodic_return=[-1.]
global_step=52, episodic_return=[-1.]
global_step=56, episodic_return=[-1.]
global_step=60, episodic_return=[-1.]
global_step=64, episodic_return=[-1.]
global_step=68, episodic_return=[-1.]
global_step=72, episodic_return=[-1.]
global_step=76, episodic_return=[-1.]
global_step=80, episodic_return=[-1.]
global_step=84, episodic_return=[-1.]
global_step=88, episodic_return=[-1.]
global_step=104, episodic_return=[-1.]
global_step=108, episodic_return=[-1.]
global_step=120, episodic_return=[-1.]
global_step=124, episodic_return=[-1.]
global_step=128, episodic_return=[0.99964]
global_step=136, episodic_return=[0.99928]
global_step=140, episodic_return=[-1.]
global_step=144, episodic_return=[-1.]
global_step=156, episodic_return=[-1.]
global_step=168, episodic_return=[-1.]
global_step=172, episodic_return=[-1.]
global_step=176, episodic_return=[-1.]
global_step=188, episodic_return=[0.9982]
global_step=196, episodic_return=[0.99784]
global_step=200, episodic_return=[-1.]
global_step=212, episodic_return=[-1.]
global_step=216, episodic_return=[-1.]
global_step=228, episodic_return=[0.99856]
global_step=232, episodic_return=[-1.]
global_step=240, episodic_return=[-1.]
global_step=252, episodic_return=[-1.]
global_step=256, episodic_return=[-1.]
global_step=260, episodic_return=[-1.]
global_step=268, episodic_return=[-1.]
global_step=276, episodic_return=[-1.]
global_step=280, episodic_return=[0.99892]
global_step=284, episodic_return=[-1.]
global_step=300, episodic_return=[-1.]
global_step=316, episodic_return=[-1.]
global_step=320, episodic_return=[-1.]
global_step=324, episodic_return=[-1.]
global_step=328, episodic_return=[-1.]
global_step=332, episodic_return=[-1.]
global_step=336, episodic_return=[-1.]
global_step=340, episodic_return=[-1.]
global_step=344, episodic_return=[-1.]
global_step=348, episodic_return=[-1.]
global_step=368, episodic_return=[-1.]
global_step=384, episodic_return=[-1.]
global_step=392, episodic_return=[-1.]
global_step=396, episodic_return=[-1.]
global_step=400, episodic_return=[-1.]
global_step=404, episodic_return=[-1.]
global_step=408, episodic_return=[-1.]
global_step=412, episodic_return=[-1.]
global_step=416, episodic_return=[-1.]
global_step=428, episodic_return=[-1.]
global_step=432, episodic_return=[-1.]
global_step=436, episodic_return=[-1.]
global_step=440, episodic_return=[-1.]
global_step=444, episodic_return=[-1.]
global_step=452, episodic_return=[-1.]
global_step=456, episodic_return=[-1.]
global_step=472, episodic_return=[-1.]
global_step=476, episodic_return=[-1.]
global_step=480, episodic_return=[-1.]
global_step=492, episodic_return=[-1.]
global_step=496, episodic_return=[0.9982]
global_step=500, episodic_return=[-1.]
global_step=504, episodic_return=[-1.]
global_step=508, episodic_return=[0.99892]
global_step=512, episodic_return=[-1.]
SPS:  114
global_step=516, episodic_return=[-1.]
global_step=520, episodic_return=[-1.]
global_step=524, episodic_return=[0.9982]
global_step=528, episodic_return=[-1.]
global_step=532, episodic_return=[-1.]
global_step=544, episodic_return=[-1.]
global_step=552, episodic_return=[-1.]
global_step=564, episodic_return=[-1.]
global_step=580, episodic_return=[-1.]
global_step=588, episodic_return=[-1.]
global_step=592, episodic_return=[-1.]
global_step=604, episodic_return=[-1.]
global_step=608, episodic_return=[-1.]
global_step=612, episodic_return=[0.99928]
global_step=620, episodic_return=[-1.]
global_step=632, episodic_return=[-1.]
global_step=636, episodic_return=[-1.]
global_step=640, episodic_return=[-1.]
global_step=644, episodic_return=[-1.]
global_step=648, episodic_return=[-1.]
global_step=656, episodic_return=[-1.]
global_step=664, episodic_return=[-1.]
global_step=700, episodic_return=[-1.]
global_step=704, episodic_return=[-1.]
global_step=708, episodic_return=[-1.]
global_step=712, episodic_return=[-1.]
global_step=716, episodic_return=[-1.]
global_step=720, episodic_return=[-1.]
global_step=724, episodic_return=[-1.]
global_step=732, episodic_return=[-1.]
global_step=744, episodic_return=[-1.]
global_step=748, episodic_return=[-1.]
global_step=760, episodic_return=[-1.]
global_step=780, episodic_return=[-1.]
global_step=784, episodic_return=[-1.]
global_step=788, episodic_return=[-1.]
global_step=796, episodic_return=[-1.]
global_step=800, episodic_return=[-1.]
global_step=804, episodic_return=[-1.]
global_step=808, episodic_return=[-1.]
global_step=820, episodic_return=[-1.]
global_step=828, episodic_return=[-1.]
global_step=832, episodic_return=[-1.]
global_step=844, episodic_return=[-1.]
global_step=856, episodic_return=[-1.]
global_step=860, episodic_return=[-1.]
global_step=864, episodic_return=[-1.]
global_step=868, episodic_return=[-1.]
global_step=876, episodic_return=[0.9982]
global_step=892, episodic_return=[-1.]
global_step=900, episodic_return=[-1.]
global_step=912, episodic_return=[-1.]
global_step=916, episodic_return=[-1.]
global_step=948, episodic_return=[-1.]
global_step=952, episodic_return=[-1.]
global_step=972, episodic_return=[-1.]
global_step=976, episodic_return=[-1.]
global_step=984, episodic_return=[0.99172]
global_step=996, episodic_return=[-1.]
global_step=1024, episodic_return=[-1.]
SPS:  149
global_step=1032, episodic_return=[-1.]
global_step=1036, episodic_return=[-1.]
global_step=1048, episodic_return=[-1.]
global_step=1056, episodic_return=[0.9928]
global_step=1064, episodic_return=[-1.]
global_step=1068, episodic_return=[-1.]
global_step=1088, episodic_return=[-1.]
global_step=1104, episodic_return=[-1.]
global_step=1108, episodic_return=[-1.]
global_step=1112, episodic_return=[-1.]
global_step=1120, episodic_return=[0.99424]
global_step=1124, episodic_return=[-1.]
global_step=1128, episodic_return=[-1.]
global_step=1156, episodic_return=[0.99676]
global_step=1168, episodic_return=[0.99496]
global_step=1180, episodic_return=[-1.]
global_step=1184, episodic_return=[0.99964]
global_step=1196, episodic_return=[-1.]
global_step=1208, episodic_return=[-1.]
global_step=1220, episodic_return=[0.99892]
global_step=1224, episodic_return=[0.99964]
global_step=1240, episodic_return=[0.99496]
global_step=1244, episodic_return=[0.9946]
global_step=1248, episodic_return=[0.99784]
global_step=1252, episodic_return=[-1.]
global_step=1264, episodic_return=[0.99388]
global_step=1268, episodic_return=[-1.]
global_step=1276, episodic_return=[0.99928]
global_step=1280, episodic_return=[-1.]
global_step=1288, episodic_return=[-1.]
global_step=1296, episodic_return=[-1.]
global_step=1308, episodic_return=[-1.]
global_step=1312, episodic_return=[-1.]
global_step=1332, episodic_return=[-1.]
global_step=1336, episodic_return=[-1.]
global_step=1348, episodic_return=[-1.]
global_step=1352, episodic_return=[-1.]
global_step=1360, episodic_return=[-1.]
global_step=1364, episodic_return=[-1.]
global_step=1368, episodic_return=[0.99352]
global_step=1388, episodic_return=[-1.]
global_step=1400, episodic_return=[-1.]
global_step=1404, episodic_return=[-1.]
global_step=1408, episodic_return=[-1.]
global_step=1416, episodic_return=[-1.]
global_step=1428, episodic_return=[-1.]
global_step=1432, episodic_return=[0.99856]
global_step=1444, episodic_return=[-1.]
global_step=1452, episodic_return=[0.99928]
global_step=1460, episodic_return=[-1.]
global_step=1472, episodic_return=[-1.]
global_step=1484, episodic_return=[-1.]
global_step=1488, episodic_return=[0.99964]
global_step=1496, episodic_return=[-1.]
global_step=1508, episodic_return=[-1.]
global_step=1524, episodic_return=[-1.]
global_step=1528, episodic_return=[-1.]
global_step=1532, episodic_return=[-1.]
global_step=1536, episodic_return=[-1.]
SPS:  177
global_step=1540, episodic_return=[-1.]
global_step=1544, episodic_return=[0.99964]
global_step=1548, episodic_return=[0.9946]
global_step=1552, episodic_return=[-1.]
global_step=1572, episodic_return=[0.9982]
global_step=1588, episodic_return=[-1.]
global_step=1604, episodic_return=[-1.]
global_step=1616, episodic_return=[-1.]
global_step=1624, episodic_return=[-1.]
global_step=1628, episodic_return=[0.99964]
global_step=1660, episodic_return=[-1.]
global_step=1668, episodic_return=[0.99532]
global_step=1672, episodic_return=[-1.]
global_step=1688, episodic_return=[-1.]
global_step=1692, episodic_return=[-1.]
global_step=1696, episodic_return=[0.99928]
global_step=1708, episodic_return=[-1.]
global_step=1720, episodic_return=[-1.]
global_step=1740, episodic_return=[-1.]
global_step=1756, episodic_return=[-1.]
global_step=1764, episodic_return=[-1.]
global_step=1768, episodic_return=[-1.]
global_step=1776, episodic_return=[-1.]
global_step=1784, episodic_return=[0.99928]
global_step=1788, episodic_return=[-1.]
global_step=1792, episodic_return=[-1.]
global_step=1816, episodic_return=[-1.]
global_step=1828, episodic_return=[-1.]
global_step=1852, episodic_return=[-1.]
global_step=1868, episodic_return=[-1.]
global_step=1916, episodic_return=[-1.]
global_step=1928, episodic_return=[-1.]
global_step=1944, episodic_return=[-1.]
global_step=1952, episodic_return=[-1.]
global_step=1968, episodic_return=[0.99856]
global_step=1976, episodic_return=[-1.]
global_step=1992, episodic_return=[-1.]
global_step=2016, episodic_return=[0.99784]
global_step=2020, episodic_return=[-1.]
global_step=2036, episodic_return=[-1.]
global_step=2048, episodic_return=[0.99748]
SPS:  194
global_step=2056, episodic_return=[-1.]
global_step=2064, episodic_return=[-1.]
global_step=2080, episodic_return=[-1.]
global_step=2100, episodic_return=[0.99532]
global_step=2104, episodic_return=[-1.]
global_step=2108, episodic_return=[0.99748]
global_step=2124, episodic_return=[-1.]
global_step=2144, episodic_return=[0.9982]
global_step=2164, episodic_return=[0.99496]
global_step=2200, episodic_return=[-1.]
global_step=2216, episodic_return=[0.99352]
global_step=2248, episodic_return=[-1.]
global_step=2252, episodic_return=[-1.]
global_step=2288, episodic_return=[-1.]
global_step=2304, episodic_return=[-1.]
global_step=2316, episodic_return=[-1.]
global_step=2324, episodic_return=[0.99928]
global_step=2336, episodic_return=[0.99712]
global_step=2356, episodic_return=[-1.]
global_step=2372, episodic_return=[-1.]
global_step=2388, episodic_return=[0.98452]
global_step=2404, episodic_return=[-1.]
global_step=2408, episodic_return=[0.9982]
global_step=2416, episodic_return=[0.9946]
global_step=2428, episodic_return=[-1.]
global_step=2432, episodic_return=[0.99748]
global_step=2440, episodic_return=[0.99712]
global_step=2448, episodic_return=[-1.]
global_step=2452, episodic_return=[-1.]
global_step=2472, episodic_return=[0.9964]
global_step=2476, episodic_return=[-1.]
global_step=2496, episodic_return=[-1.]
global_step=2508, episodic_return=[-1.]
global_step=2516, episodic_return=[0.99928]
global_step=2524, episodic_return=[0.99532]
global_step=2536, episodic_return=[-1.]
SPS:  211
global_step=2576, episodic_return=[-1.]
global_step=2580, episodic_return=[-1.]
global_step=2596, episodic_return=[0.98704]
global_step=2600, episodic_return=[-1.]
global_step=2636, episodic_return=[-1.]
global_step=2688, episodic_return=[0.98992]
global_step=2696, episodic_return=[-1.]
global_step=2700, episodic_return=[0.99892]
global_step=2708, episodic_return=[-1.]
global_step=2732, episodic_return=[-1.]
global_step=2752, episodic_return=[-1.]
global_step=2760, episodic_return=[-1.]
global_step=2764, episodic_return=[-1.]
global_step=2784, episodic_return=[-1.]
global_step=2788, episodic_return=[0.99964]
global_step=2812, episodic_return=[0.9946]
global_step=2820, episodic_return=[0.99928]
global_step=2824, episodic_return=[0.98848]
global_step=2828, episodic_return=[-1.]
global_step=2836, episodic_return=[-1.]
global_step=2860, episodic_return=[-1.]
global_step=2872, episodic_return=[-1.]
global_step=2880, episodic_return=[-1.]
global_step=2884, episodic_return=[-1.]
global_step=2888, episodic_return=[0.99964]
global_step=2912, episodic_return=[0.99784]
global_step=2916, episodic_return=[0.99964]
global_step=2936, episodic_return=[0.99496]
global_step=2952, episodic_return=[-1.]
global_step=3020, episodic_return=[-1.]
global_step=3028, episodic_return=[-1.]
global_step=3032, episodic_return=[-1.]
global_step=3040, episodic_return=[-1.]
global_step=3052, episodic_return=[0.99892]
global_step=3056, episodic_return=[0.99784]
global_step=3060, episodic_return=[0.99928]
SPS:  220
global_step=3112, episodic_return=[-1.]
global_step=3116, episodic_return=[-1.]
global_step=3168, episodic_return=[-1.]
global_step=3172, episodic_return=[-1.]
global_step=3196, episodic_return=[0.98776]
global_step=3204, episodic_return=[-1.]
global_step=3212, episodic_return=[-1.]
global_step=3224, episodic_return=[-1.]
global_step=3228, episodic_return=[0.99964]
global_step=3236, episodic_return=[0.99424]
global_step=3240, episodic_return=[0.99856]
global_step=3244, episodic_return=[-1.]
global_step=3256, episodic_return=[-1.]
global_step=3260, episodic_return=[0.99784]
global_step=3268, episodic_return=[-1.]
global_step=3324, episodic_return=[-1.]
global_step=3328, episodic_return=[0.99964]
global_step=3344, episodic_return=[-1.]
global_step=3364, episodic_return=[0.99064]
global_step=3368, episodic_return=[0.99784]
global_step=3372, episodic_return=[-1.]
global_step=3384, episodic_return=[-1.]
global_step=3396, episodic_return=[0.99748]
global_step=3400, episodic_return=[0.99748]
global_step=3404, episodic_return=[-1.]
global_step=3424, episodic_return=[0.99748]
global_step=3428, episodic_return=[-1.]
global_step=3432, episodic_return=[-1.]
global_step=3444, episodic_return=[0.9964]
global_step=3448, episodic_return=[-1.]
global_step=3460, episodic_return=[0.99892]
global_step=3464, episodic_return=[0.9982]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-5x5-v0__playground_gridworld__1__1683035767\rl-video-episode-100.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-5x5-v0__playground_gridworld__1__1683035767\rl-video-episode-100.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-5x5-v0__playground_gridworld__1__1683035767\rl-video-episode-100.mp4
global_step=3476, episodic_return=[-1.]
global_step=3484, episodic_return=[0.99928]
global_step=3504, episodic_return=[-1.]
global_step=3512, episodic_return=[0.99928]
global_step=3516, episodic_return=[-1.]
global_step=3524, episodic_return=[0.99928]
global_step=3544, episodic_return=[0.9964]
global_step=3548, episodic_return=[0.99964]
global_step=3552, episodic_return=[-1.]
global_step=3568, episodic_return=[-1.]
global_step=3576, episodic_return=[0.99928]
global_step=3580, episodic_return=[-1.]
SPS:  217
global_step=3612, episodic_return=[-1.]
global_step=3620, episodic_return=[0.99352]
global_step=3628, episodic_return=[0.99856]
global_step=3632, episodic_return=[0.9892]
global_step=3664, episodic_return=[0.99676]
global_step=3732, episodic_return=[0.991]
global_step=3736, episodic_return=[-1.]
global_step=3752, episodic_return=[0.98812]
global_step=3764, episodic_return=[0.99748]
global_step=3776, episodic_return=[0.99784]
global_step=3796, episodic_return=[0.99712]
global_step=3824, episodic_return=[-1.]
global_step=3828, episodic_return=[0.98524]
global_step=3852, episodic_return=[0.99316]
global_step=3872, episodic_return=[0.99604]
global_step=3880, episodic_return=[0.99532]
global_step=3896, episodic_return=[-1.]
global_step=3912, episodic_return=[0.9964]
global_step=3916, episodic_return=[-1.]
global_step=3928, episodic_return=[0.99856]
global_step=3976, episodic_return=[-1.]
global_step=4004, episodic_return=[0.99316]
global_step=4008, episodic_return=[0.98848]
global_step=4012, episodic_return=[0.99676]
global_step=4020, episodic_return=[0.99892]
global_step=4024, episodic_return=[0.99892]
global_step=4032, episodic_return=[0.99892]
global_step=4096, episodic_return=[0.99424]
SPS:  227
global_step=4120, episodic_return=[0.99784]
global_step=4168, episodic_return=[0.99568]
global_step=4184, episodic_return=[0.99856]
global_step=4196, episodic_return=[0.9748]
global_step=4224, episodic_return=[0.982]
global_step=4228, episodic_return=[0.99604]
global_step=4240, episodic_return=[0.9892]
global_step=4248, episodic_return=[-1.]
global_step=4268, episodic_return=[-1.]
global_step=4272, episodic_return=[0.99784]
global_step=4292, episodic_return=[0.9982]
global_step=4324, episodic_return=[0.99712]
global_step=4328, episodic_return=[-1.]
global_step=4404, episodic_return=[0.9928]
global_step=4408, episodic_return=[-1.]
global_step=4412, episodic_return=[0.99964]
global_step=4444, episodic_return=[0.99676]
global_step=4452, episodic_return=[0.97696]
global_step=4464, episodic_return=[0.99892]
global_step=4480, episodic_return=[0.99388]
global_step=4484, episodic_return=[0.9982]
global_step=4488, episodic_return=[0.99604]
global_step=4512, episodic_return=[0.99712]
global_step=4520, episodic_return=[-1.]
global_step=4532, episodic_return=[-1.]
global_step=4540, episodic_return=[-1.]
global_step=4548, episodic_return=[0.99928]
global_step=4576, episodic_return=[0.99748]
SPS:  236
global_step=4640, episodic_return=[0.99028]
global_step=4648, episodic_return=[0.99928]
global_step=4652, episodic_return=[0.99964]
global_step=4656, episodic_return=[-1.]
global_step=4696, episodic_return=[-1.]
global_step=4700, episodic_return=[0.9838]
global_step=4736, episodic_return=[0.99676]
global_step=4748, episodic_return=[0.99532]
global_step=4756, episodic_return=[0.99928]
global_step=4760, episodic_return=[0.99784]
global_step=4768, episodic_return=[0.99928]
global_step=4780, episodic_return=[0.98884]
global_step=4788, episodic_return=[-1.]
global_step=4800, episodic_return=[0.991]
global_step=4804, episodic_return=[-1.]
global_step=4812, episodic_return=[0.99892]
global_step=4832, episodic_return=[0.99316]
global_step=4852, episodic_return=[0.99568]
global_step=4864, episodic_return=[-1.]
global_step=4884, episodic_return=[0.99352]
global_step=4888, episodic_return=[0.99964]
global_step=4928, episodic_return=[0.9964]
global_step=4964, episodic_return=[0.98344]
global_step=4992, episodic_return=[0.9856]
global_step=5056, episodic_return=[0.99424]
global_step=5072, episodic_return=[-1.]
global_step=5080, episodic_return=[0.98632]
global_step=5084, episodic_return=[0.99892]
global_step=5088, episodic_return=[0.99712]
global_step=5096, episodic_return=[-1.]
global_step=5108, episodic_return=[0.99892]
global_step=5120, episodic_return=[0.99676]
SPS:  240
global_step=5136, episodic_return=[0.99496]
global_step=5140, episodic_return=[0.99712]
global_step=5152, episodic_return=[0.99712]
global_step=5168, episodic_return=[0.99748]
global_step=5172, episodic_return=[0.9982]
global_step=5192, episodic_return=[0.9982]
global_step=5220, episodic_return=[-1.]
global_step=5236, episodic_return=[-1.]
global_step=5248, episodic_return=[-1.]
global_step=5256, episodic_return=[-1.]
global_step=5292, episodic_return=[0.99604]
global_step=5320, episodic_return=[0.99748]
global_step=5328, episodic_return=[0.99928]
global_step=5340, episodic_return=[0.99892]
global_step=5348, episodic_return=[-1.]
global_step=5376, episodic_return=[0.99748]
global_step=5440, episodic_return=[-1.]
global_step=5448, episodic_return=[0.99928]
global_step=5456, episodic_return=[0.9928]
global_step=5472, episodic_return=[0.97876]
global_step=5492, episodic_return=[0.9982]
global_step=5500, episodic_return=[0.99532]
global_step=5512, episodic_return=[0.9676]
global_step=5536, episodic_return=[0.99676]
global_step=5548, episodic_return=[0.99172]
global_step=5568, episodic_return=[0.99496]
global_step=5572, episodic_return=[0.99784]
global_step=5588, episodic_return=[0.99532]
global_step=5608, episodic_return=[0.99676]
global_step=5620, episodic_return=[0.99712]
global_step=5632, episodic_return=[0.99784]
SPS:  242
global_step=5640, episodic_return=[0.9982]
global_step=5668, episodic_return=[0.99676]
global_step=5672, episodic_return=[0.99712]
global_step=5712, episodic_return=[0.9874]
global_step=5764, episodic_return=[0.99172]
global_step=5800, episodic_return=[0.99208]
global_step=5836, episodic_return=[0.98488]
global_step=5844, episodic_return=[0.9928]
global_step=5876, episodic_return=[0.9964]
global_step=5884, episodic_return=[0.9964]
global_step=5892, episodic_return=[0.99928]
global_step=5920, episodic_return=[0.99748]
global_step=5940, episodic_return=[0.99424]
global_step=5944, episodic_return=[0.98704]
global_step=5976, episodic_return=[0.99712]
global_step=5996, episodic_return=[0.99316]
global_step=6008, episodic_return=[0.99712]
global_step=6016, episodic_return=[0.99316]
global_step=6020, episodic_return=[-1.]
global_step=6028, episodic_return=[0.99928]
global_step=6052, episodic_return=[0.95644]
global_step=6060, episodic_return=[0.99928]
global_step=6064, episodic_return=[0.99676]
global_step=6076, episodic_return=[0.9946]
global_step=6096, episodic_return=[0.991]
global_step=6104, episodic_return=[0.9964]
global_step=6108, episodic_return=[0.99892]
global_step=6128, episodic_return=[0.99388]
global_step=6132, episodic_return=[0.99496]
SPS:  244
global_step=6152, episodic_return=[0.9982]
global_step=6160, episodic_return=[0.99496]
global_step=6172, episodic_return=[0.9982]
global_step=6208, episodic_return=[-1.]
global_step=6216, episodic_return=[0.99208]
global_step=6224, episodic_return=[0.99856]
global_step=6232, episodic_return=[0.99928]
global_step=6252, episodic_return=[0.99676]
global_step=6264, episodic_return=[0.99064]
global_step=6268, episodic_return=[0.99676]
global_step=6292, episodic_return=[0.9964]
global_step=6356, episodic_return=[-1.]
global_step=6380, episodic_return=[0.99784]
global_step=6388, episodic_return=[0.99136]
global_step=6436, episodic_return=[0.99568]
global_step=6456, episodic_return=[0.9982]
global_step=6468, episodic_return=[0.99892]
global_step=6484, episodic_return=[0.99064]
global_step=6504, episodic_return=[0.97876]
global_step=6516, episodic_return=[0.99568]
global_step=6520, episodic_return=[0.99676]
global_step=6524, episodic_return=[0.99928]
global_step=6584, episodic_return=[0.96292]
global_step=6612, episodic_return=[0.99172]
SPS:  248
global_step=6680, episodic_return=[0.9856]
global_step=6684, episodic_return=[0.991]
global_step=6692, episodic_return=[0.99928]
global_step=6696, episodic_return=[0.98452]
global_step=6736, episodic_return=[0.9964]
global_step=6748, episodic_return=[0.99496]
global_step=6780, episodic_return=[0.99604]
global_step=6792, episodic_return=[0.99604]
global_step=6864, episodic_return=[0.99244]
global_step=6876, episodic_return=[0.99244]
global_step=6880, episodic_return=[-1.]
global_step=6900, episodic_return=[0.9802]
global_step=6920, episodic_return=[0.99604]
global_step=6940, episodic_return=[0.9982]
global_step=6944, episodic_return=[0.99424]
global_step=6956, episodic_return=[0.99892]
global_step=6960, episodic_return=[-1.]
global_step=6984, episodic_return=[0.99784]
global_step=7000, episodic_return=[0.99856]
global_step=7016, episodic_return=[0.98956]
global_step=7028, episodic_return=[0.99892]
global_step=7040, episodic_return=[0.99892]
global_step=7048, episodic_return=[0.99172]
global_step=7052, episodic_return=[0.98308]
global_step=7076, episodic_return=[0.99748]
global_step=7084, episodic_return=[-1.]
global_step=7100, episodic_return=[0.99856]
global_step=7116, episodic_return=[0.99712]
global_step=7136, episodic_return=[0.99676]
global_step=7156, episodic_return=[0.9964]
global_step=7160, episodic_return=[-1.]
SPS:  247
global_step=7184, episodic_return=[-1.]
global_step=7204, episodic_return=[0.9982]
global_step=7216, episodic_return=[0.9946]
global_step=7220, episodic_return=[0.9802]
global_step=7228, episodic_return=[0.99928]
global_step=7232, episodic_return=[0.99856]
global_step=7308, episodic_return=[0.99316]
global_step=7312, episodic_return=[0.99964]
global_step=7344, episodic_return=[0.99676]
global_step=7368, episodic_return=[0.98776]
global_step=7372, episodic_return=[0.9946]
global_step=7384, episodic_return=[0.99856]
global_step=7420, episodic_return=[0.99316]
global_step=7440, episodic_return=[0.99388]
global_step=7468, episodic_return=[0.99568]
global_step=7472, episodic_return=[-1.]
global_step=7488, episodic_return=[0.9982]
global_step=7492, episodic_return=[0.99964]
global_step=7496, episodic_return=[-1.]
global_step=7508, episodic_return=[0.98884]
global_step=7516, episodic_return=[-1.]
global_step=7540, episodic_return=[-1.]
global_step=7572, episodic_return=[0.99424]
global_step=7576, episodic_return=[0.99676]
global_step=7580, episodic_return=[-1.]
global_step=7588, episodic_return=[0.99352]
global_step=7596, episodic_return=[0.99928]
global_step=7600, episodic_return=[0.99964]
global_step=7604, episodic_return=[0.99964]
global_step=7620, episodic_return=[0.99604]
global_step=7636, episodic_return=[0.99496]
global_step=7656, episodic_return=[0.99532]
global_step=7672, episodic_return=[0.99532]
SPS:  248
global_step=7696, episodic_return=[0.9964]
global_step=7764, episodic_return=[0.99388]
global_step=7772, episodic_return=[0.99928]
global_step=7788, episodic_return=[0.98632]
global_step=7792, episodic_return=[0.99136]
global_step=7796, episodic_return=[0.99784]
global_step=7852, episodic_return=[0.9838]
global_step=7872, episodic_return=[0.9928]
global_step=7888, episodic_return=[0.99856]
global_step=7896, episodic_return=[0.99028]
global_step=7904, episodic_return=[0.99532]
global_step=7932, episodic_return=[0.99604]
global_step=7936, episodic_return=[0.9964]
global_step=7944, episodic_return=[0.99928]
global_step=7948, episodic_return=[0.99964]
global_step=7960, episodic_return=[0.99748]
global_step=7972, episodic_return=[0.98416]
global_step=7980, episodic_return=[0.9982]
global_step=7984, episodic_return=[0.9928]
global_step=7992, episodic_return=[-1.]
global_step=8012, episodic_return=[0.99748]
global_step=8020, episodic_return=[0.9964]
global_step=8032, episodic_return=[0.9964]
global_step=8044, episodic_return=[0.99712]
global_step=8060, episodic_return=[-1.]
global_step=8072, episodic_return=[0.9964]
global_step=8080, episodic_return=[0.9982]
global_step=8096, episodic_return=[-1.]
global_step=8104, episodic_return=[0.99712]
global_step=8112, episodic_return=[0.9874]
global_step=8124, episodic_return=[0.99604]
global_step=8144, episodic_return=[0.9964]
global_step=8164, episodic_return=[0.99388]
global_step=8180, episodic_return=[-1.]
SPS:  251
global_step=8220, episodic_return=[0.99496]
global_step=8236, episodic_return=[0.98884]
global_step=8248, episodic_return=[0.99748]
global_step=8256, episodic_return=[0.99316]
global_step=8296, episodic_return=[0.9946]
global_step=8304, episodic_return=[0.99496]
global_step=8332, episodic_return=[0.99748]
global_step=8344, episodic_return=[0.99208]
global_step=8368, episodic_return=[0.99352]
global_step=8384, episodic_return=[0.99856]
global_step=8392, episodic_return=[0.97588]
global_step=8424, episodic_return=[0.99712]
global_step=8448, episodic_return=[0.99064]
global_step=8468, episodic_return=[0.9982]
global_step=8488, episodic_return=[0.9982]
global_step=8496, episodic_return=[0.99928]
global_step=8508, episodic_return=[-1.]
global_step=8516, episodic_return=[0.9982]
global_step=8524, episodic_return=[0.99856]
global_step=8540, episodic_return=[0.99856]
