C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gymnasium\envs\registration.py:523: DeprecationWarning: [33mWARN: The environment MiniGrid-Dynamic-Obstacles-Random-10x10-v0 is out of date. You should consider upgrading to version `v2`.
  logger.deprecation(
C:\Users\hxri\miniconda3\envs\cogppo\Lib\site-packages\gymnasium\wrappers\record_video.py:87: UserWarning: [33mWARN: Overwriting existing videos at D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)
  logger.warn(
D:\Masters\Projects\thesis\cognitive-PPO\playground_gridworld_appraisal.py:359: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  next_appraisal = torch.tensor(agent.get_appraisal(next_obs))
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-0.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-0.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-0.mp4
GS 512 | R -1.000 | lr 1.000e-03 | vL 0.062 | pL -0.057 | E 1.082 | KL 0.010 | cF 0.285 | eVar 0.012 | aL -0.416 | SPS 42
GS 1024 | R -1.000 | lr 9.949e-04 | vL 0.020 | pL -0.049 | E 1.070 | KL 0.006 | cF 0.108 | eVar -0.026 | aL -0.456 | SPS 61
GS 1536 | R -1.000 | lr 9.897e-04 | vL 0.009 | pL -0.048 | E 1.039 | KL 0.013 | cF 0.128 | eVar -0.169 | aL -0.455 | SPS 72
GS 2048 | R 0.999 | lr 9.846e-04 | vL 0.039 | pL -0.037 | E 1.056 | KL 0.010 | cF 0.159 | eVar -0.008 | aL -0.481 | SPS 80
GS 2560 | R -1.000 | lr 9.795e-04 | vL 0.019 | pL -0.034 | E 1.061 | KL 0.006 | cF 0.148 | eVar -0.025 | aL -0.493 | SPS 85
GS 3072 | R -1.000 | lr 9.744e-04 | vL 0.026 | pL -0.038 | E 1.041 | KL 0.009 | cF 0.110 | eVar -0.009 | aL -0.482 | SPS 90
GS 3584 | R -1.000 | lr 9.692e-04 | vL 0.009 | pL -0.039 | E 1.045 | KL 0.009 | cF 0.105 | eVar 0.049 | aL -0.489 | SPS 93
GS 4096 | R -1.000 | lr 9.641e-04 | vL 0.005 | pL -0.040 | E 1.012 | KL 0.008 | cF 0.062 | eVar 0.083 | aL -0.492 | SPS 96
GS 4608 | R 0.993 | lr 9.590e-04 | vL 0.038 | pL -0.034 | E 1.039 | KL 0.018 | cF 0.076 | eVar -0.038 | aL -0.471 | SPS 98
GS 5120 | R -1.000 | lr 9.538e-04 | vL 0.008 | pL -0.016 | E 1.021 | KL 0.014 | cF 0.158 | eVar -0.030 | aL -0.458 | SPS 100
GS 5632 | R -1.000 | lr 9.487e-04 | vL 0.042 | pL -0.034 | E 1.009 | KL 0.017 | cF 0.107 | eVar -0.026 | aL -0.472 | SPS 101
GS 6144 | R -1.000 | lr 9.436e-04 | vL 0.029 | pL -0.022 | E 1.049 | KL 0.009 | cF 0.104 | eVar -0.006 | aL -0.478 | SPS 102
GS 6656 | R -1.000 | lr 9.385e-04 | vL 0.058 | pL -0.032 | E 1.048 | KL 0.013 | cF 0.121 | eVar -0.003 | aL -0.494 | SPS 103
GS 7168 | R -1.000 | lr 9.333e-04 | vL 0.032 | pL -0.001 | E 1.059 | KL 0.012 | cF 0.097 | eVar -0.006 | aL -0.475 | SPS 104
GS 7680 | R -1.000 | lr 9.282e-04 | vL 0.011 | pL -0.029 | E 1.025 | KL 0.006 | cF 0.072 | eVar -0.017 | aL -0.474 | SPS 105
GS 8192 | R -1.000 | lr 9.231e-04 | vL 0.008 | pL -0.045 | E 1.014 | KL 0.014 | cF 0.134 | eVar 0.012 | aL -0.467 | SPS 106
GS 8704 | R -1.000 | lr 9.179e-04 | vL 0.075 | pL -0.036 | E 1.043 | KL 0.018 | cF 0.110 | eVar 0.008 | aL -0.491 | SPS 106
GS 9216 | R -1.000 | lr 9.128e-04 | vL 0.055 | pL -0.025 | E 1.053 | KL 0.011 | cF 0.091 | eVar -0.054 | aL -0.504 | SPS 107
GS 9728 | R -1.000 | lr 9.077e-04 | vL 0.032 | pL -0.038 | E 1.039 | KL 0.010 | cF 0.052 | eVar 0.009 | aL -0.454 | SPS 107
GS 10240 | R -1.000 | lr 9.026e-04 | vL 0.016 | pL -0.021 | E 1.052 | KL 0.010 | cF 0.105 | eVar -0.006 | aL -0.471 | SPS 108
GS 10752 | R -1.000 | lr 8.974e-04 | vL 0.034 | pL -0.017 | E 1.043 | KL 0.008 | cF 0.069 | eVar 0.023 | aL -0.466 | SPS 108
GS 11264 | R -1.000 | lr 8.923e-04 | vL 0.035 | pL -0.032 | E 1.033 | KL 0.011 | cF 0.076 | eVar 0.017 | aL -0.468 | SPS 109
GS 11776 | R -1.000 | lr 8.872e-04 | vL 0.009 | pL -0.033 | E 1.032 | KL 0.009 | cF 0.048 | eVar 0.025 | aL -0.445 | SPS 109
GS 12288 | R 0.998 | lr 8.821e-04 | vL 0.070 | pL -0.022 | E 1.046 | KL 0.013 | cF 0.073 | eVar 0.068 | aL -0.507 | SPS 109
GS 12800 | R -1.000 | lr 8.769e-04 | vL 0.026 | pL -0.041 | E 1.034 | KL 0.012 | cF 0.126 | eVar -0.023 | aL -0.458 | SPS 109
GS 13312 | R -1.000 | lr 8.718e-04 | vL 0.028 | pL -0.021 | E 1.017 | KL 0.019 | cF 0.121 | eVar -0.010 | aL -0.441 | SPS 109
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-100.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-100.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Dynamic-Obstacles-Random-10x10-v0__test\rl-video-episode-100.mp4
GS 13824 | R -1.000 | lr 8.667e-04 | vL 0.070 | pL -0.036 | E 0.996 | KL 0.027 | cF 0.116 | eVar 0.071 | aL -0.480 | SPS 108
GS 14336 | R -1.000 | lr 8.615e-04 | vL 0.080 | pL -0.037 | E 1.001 | KL 0.012 | cF 0.143 | eVar 0.026 | aL -0.463 | SPS 109
GS 14848 | R -1.000 | lr 8.564e-04 | vL 0.049 | pL -0.014 | E 1.009 | KL 0.010 | cF 0.111 | eVar 0.038 | aL -0.464 | SPS 109
GS 15360 | R -1.000 | lr 8.513e-04 | vL 0.034 | pL -0.044 | E 1.018 | KL 0.013 | cF 0.135 | eVar 0.052 | aL -0.464 | SPS 110
GS 15872 | R 0.999 | lr 8.462e-04 | vL 0.026 | pL -0.042 | E 1.015 | KL 0.012 | cF 0.162 | eVar 0.035 | aL -0.450 | SPS 110
GS 16384 | R 0.999 | lr 8.410e-04 | vL 0.033 | pL -0.019 | E 1.037 | KL 0.009 | cF 0.064 | eVar 0.189 | aL -0.448 | SPS 110
GS 16896 | R -1.000 | lr 8.359e-04 | vL 0.054 | pL -0.043 | E 1.008 | KL 0.010 | cF 0.063 | eVar 0.292 | aL -0.456 | SPS 109
GS 17408 | R -1.000 | lr 8.308e-04 | vL 0.035 | pL -0.050 | E 1.006 | KL 0.010 | cF 0.113 | eVar 0.352 | aL -0.482 | SPS 109
GS 17920 | R 0.999 | lr 8.256e-04 | vL 0.081 | pL -0.038 | E 1.029 | KL 0.012 | cF 0.102 | eVar 0.158 | aL -0.477 | SPS 108
GS 18432 | R -1.000 | lr 8.205e-04 | vL 0.027 | pL -0.020 | E 1.026 | KL 0.011 | cF 0.114 | eVar 0.153 | aL -0.463 | SPS 108
GS 18944 | R -1.000 | lr 8.154e-04 | vL 0.041 | pL -0.030 | E 1.029 | KL 0.010 | cF 0.097 | eVar 0.262 | aL -0.459 | SPS 106
GS 19456 | R -1.000 | lr 8.103e-04 | vL 0.043 | pL -0.031 | E 1.005 | KL 0.014 | cF 0.124 | eVar 0.278 | aL -0.471 | SPS 104
GS 19968 | R 0.999 | lr 8.051e-04 | vL 0.040 | pL -0.017 | E 1.051 | KL 0.014 | cF 0.091 | eVar -0.247 | aL -0.439 | SPS 104
GS 20480 | R -1.000 | lr 8.000e-04 | vL 0.027 | pL -0.043 | E 1.025 | KL 0.008 | cF 0.069 | eVar -0.121 | aL -0.462 | SPS 104
GS 20992 | R -1.000 | lr 7.949e-04 | vL 0.050 | pL -0.028 | E 1.040 | KL 0.007 | cF 0.104 | eVar 0.103 | aL -0.442 | SPS 104
GS 21504 | R -1.000 | lr 7.897e-04 | vL 0.051 | pL -0.039 | E 1.032 | KL 0.007 | cF 0.076 | eVar 0.104 | aL -0.450 | SPS 104
GS 22016 | R -1.000 | lr 7.846e-04 | vL 0.053 | pL -0.044 | E 0.998 | KL 0.014 | cF 0.107 | eVar 0.071 | aL -0.457 | SPS 103
GS 22528 | R 1.000 | lr 7.795e-04 | vL 0.058 | pL -0.030 | E 0.990 | KL 0.012 | cF 0.072 | eVar 0.221 | aL -0.466 | SPS 103
GS 23040 | R -1.000 | lr 7.744e-04 | vL 0.029 | pL -0.034 | E 1.009 | KL 0.015 | cF 0.135 | eVar -0.132 | aL -0.479 | SPS 103
GS 23552 | R 1.000 | lr 7.692e-04 | vL 0.039 | pL -0.023 | E 0.990 | KL 0.010 | cF 0.060 | eVar 0.319 | aL -0.478 | SPS 103
GS 24064 | R -1.000 | lr 7.641e-04 | vL 0.041 | pL -0.012 | E 1.008 | KL 0.017 | cF 0.119 | eVar 0.395 | aL -0.472 | SPS 103
GS 24576 | R -1.000 | lr 7.590e-04 | vL 0.057 | pL -0.024 | E 1.021 | KL 0.013 | cF 0.053 | eVar 0.253 | aL -0.444 | SPS 102
GS 25088 | R -1.000 | lr 7.538e-04 | vL 0.016 | pL -0.034 | E 1.034 | KL 0.007 | cF 0.072 | eVar -0.131 | aL -0.458 | SPS 102
GS 25600 | R -1.000 | lr 7.487e-04 | vL 0.080 | pL -0.024 | E 1.021 | KL 0.004 | cF 0.056 | eVar 0.263 | aL -0.469 | SPS 102
GS 26112 | R 0.995 | lr 7.436e-04 | vL 0.075 | pL -0.047 | E 1.009 | KL 0.012 | cF 0.069 | eVar 0.143 | aL -0.466 | SPS 102
GS 26624 | R -1.000 | lr 7.385e-04 | vL 0.009 | pL -0.025 | E 0.994 | KL 0.006 | cF 0.100 | eVar -0.384 | aL -0.458 | SPS 102
GS 27136 | R -1.000 | lr 7.333e-04 | vL 0.026 | pL -0.046 | E 1.002 | KL 0.015 | cF 0.064 | eVar 0.116 | aL -0.469 | SPS 101
GS 27648 | R -1.000 | lr 7.282e-04 | vL 0.019 | pL -0.028 | E 0.992 | KL 0.007 | cF 0.043 | eVar 0.068 | aL -0.461 | SPS 101
